Phoneme,tone,stress,syllabic,short,long,consonantal,sonorant,continuant,delayedRelease,approximant,tap,trill,nasal,lateral,labial,round,labiodental,coronal,anterior,distributed,strident,dorsal,high,low,front,back,tense,retractedTongueRoot,advancedTongueRoot,periodicGlottalSource,epilaryngealSource,spreadGlottis,constrictedGlottis,fortis,raisedLarynxEjective,loweredLarynxImplosive,click
ŋ̥ǂ͓ˡxˀ,0,-,-,-,-,+,"+,-,-","-,-,+",+,-,-,-,"+,-,-","-,+,-",-,0,0,"-,+,-",-,+,-,"+,-,+",+,-,-,-,0,0,0,-,-,-,"-,-,+",-,-,-,"-,+,-"
ŋ̥ǂ͓ˡʰ,0,-,-,-,-,+,"+,-",-,+,-,-,-,"+,-","-,+",-,0,0,"-,+",-,+,-,"+,-",+,-,-,-,0,0,0,-,-,"-,+",-,-,-,-,"-,+"
ŋ̥ǂ͓ˡˀ,0,-,-,-,-,+,"+,-",-,+,-,-,-,"+,-","-,+",-,0,0,"-,+",-,+,-,"+,-",+,-,-,-,0,0,0,-,-,-,"-,+",-,-,-,"-,+"
ŋ̥ǃ,0,-,-,-,-,+,"+,-",-,-,-,-,-,"+,-",-,-,0,0,"-,+",+,-,-,"+,-",+,-,-,-,0,0,0,-,-,-,-,-,-,-,"-,+"
ŋ̥ǃˀ,0,-,-,-,-,+,"+,-",-,-,-,-,-,"+,-",-,-,0,0,"-,+",+,-,-,"+,-",+,-,-,-,0,0,0,-,-,-,"-,+",-,-,-,"-,+"
ŋ̥ǃˠˀ,0,-,-,-,-,+,"+,-",-,-,-,-,-,"+,-",-,-,0,0,"-,+",+,-,-,+,+,-,-,-,0,0,0,-,-,-,"-,+",-,-,-,"-,+"
ɡǀ͓,0,-,-,-,-,+,-,-,"-,+",-,-,-,-,-,-,0,0,"-,+",+,+,-,"+,-",+,-,-,-,0,0,0,"+,-",-,-,-,-,-,-,"-,+"
ɡǀ͓x,0,-,-,-,-,+,-,"-,-,+","-,+,+",-,-,-,-,-,-,0,0,"-,+,-",+,+,-,"+,-,+",+,-,-,-,0,0,0,"+,-,-",-,-,-,-,-,-,"-,+,-"
ɡǂ,0,-,-,-,-,+,-,-,-,-,-,-,-,-,-,0,0,"-,+",-,+,-,"+,-",+,-,-,-,0,0,0,"+,-",-,-,-,-,-,-,"-,+"
ɡǂx,0,-,-,-,-,+,-,"-,-,+","-,-,+",-,-,-,-,-,-,0,0,"-,+,-",-,+,-,"+,-,+",+,-,-,-,0,0,0,"+,-,-",-,-,-,-,-,-,"-,+,-"
ɡǂ͓ˡ,0,-,-,-,-,+,-,-,"-,+",-,-,-,-,"-,+",-,0,0,"-,+",-,+,-,"+,-",+,-,-,-,0,0,0,"+,-",-,-,-,-,-,-,"-,+"
ɡǂ͓ˡx,0,-,-,-,-,+,-,"-,-,+","-,+,+",-,-,-,-,"-,+,-",-,0,0,"-,+,-",-,+,-,"+,-,+",+,-,-,-,0,0,0,"+,-,-",-,-,-,-,-,-,"-,+,-"
ɡǃ,0,-,-,-,-,+,-,-,-,-,-,-,-,-,-,0,0,"-,+",+,-,-,"+,-",+,-,-,-,0,0,0,"+,-",-,-,-,-,-,-,"-,+"
ɡǃx,0,-,-,-,-,+,-,"-,-,+","-,-,+",-,-,-,-,-,-,0,0,"-,+,-",+,-,-,"+,-,+",+,-,-,-,0,0,0,"+,-,-",-,-,-,-,-,-,"-,+,-"
ɡʼ,0,-,-,-,-,+,-,-,-,-,-,-,-,-,-,0,0,-,0,0,0,+,+,-,-,-,0,0,0,-,-,-,+,-,+,-,-
ɡ̤ǀ͓,0,-,-,-,-,+,-,-,"-,+",-,-,-,-,-,-,0,0,"-,+",+,+,-,"+,-",+,-,-,-,0,0,0,"+,-",-,"+,-",-,-,-,-,"-,+"
ɡ̤ǂ,0,-,-,-,-,+,-,-,-,-,-,-,-,-,-,0,0,"-,+",-,+,-,"+,-",+,-,-,-,0,0,0,"+,-",-,"+,-",-,-,-,-,"-,+"
ɡ̤ǂ͓ˡ,0,-,-,-,-,+,-,-,"-,+",-,-,-,-,"-,+",-,0,0,"-,+",-,+,-,"+,-",+,-,-,-,0,0,0,"+,-",-,"+,-",-,-,-,-,"-,+"
ɡ̤ǃ,0,-,-,-,-,+,-,-,-,-,-,-,-,-,-,0,0,"-,+",+,-,-,"+,-",+,-,-,-,0,0,0,"+,-",-,"+,-",-,-,-,-,"-,+"
ɡ̰ǀ͓x,0,-,-,-,-,+,-,"-,-,+","-,+,+",-,-,-,-,-,-,0,0,"-,+,-",+,+,-,"+,-,+",+,-,-,-,0,0,0,"+,-,-",-,-,"+,-,-",-,-,-,"-,+,-"
ɡ̰ǂx,0,-,-,-,-,+,-,"-,-,+","-,-,+",-,-,-,-,-,-,0,0,"-,+,-",-,+,-,"+,-,+",+,-,-,-,0,0,0,"+,-,-",-,-,"+,-,-",-,-,-,"-,+,-"
ɡ̰ǂ͓ˡx,0,-,-,-,-,+,-,"-,-,+","-,+,+",-,-,-,-,"-,+,-",-,0,0,"-,+,-",-,+,-,"+,-,+",+,-,-,-,0,0,0,"+,-,-",-,-,"+,-,-",-,-,-,"-,+,-"
ɡ̰ǃx,0,-,-,-,-,+,-,"-,-,+","-,-,+",-,-,-,-,-,-,0,0,"-,+,-",+,-,-,"+,-,+",+,-,-,-,0,0,0,"+,-,-",-,-,"+,-,-",-,-,-,"-,+,-"
ae̞ˤ,0,-,+,-,-,-,+,+,0,+,-,-,-,-,-,0,0,-,0,0,0,+,-,"+,-","-,+",-,0,"-,+",-,+,-,-,-,0,-,-,0
ao̞ˤ,0,-,+,-,-,-,+,+,0,+,-,-,-,-,"-,+",+,-,-,0,0,0,+,-,"+,-",-,"-,+",0,"-,+",-,+,-,-,-,0,-,-,0
aˤː,0,-,+,-,+,-,+,+,0,+,-,-,-,-,-,0,0,-,0,0,0,+,-,+,-,-,0,+,-,+,-,-,-,0,-,-,0
ãẽ̞ˤ,0,-,+,-,-,-,+,+,0,+,-,-,+,-,-,0,0,-,0,0,0,+,-,"+,-","-,+",-,0,"-,+",-,+,-,-,-,0,-,-,0
ãõ̞ˤ,0,-,+,-,-,-,+,+,0,+,-,-,+,-,"-,+",+,-,-,0,0,0,+,-,"+,-",-,"-,+",0,"-,+",-,+,-,-,-,0,-,-,0
ãˤ,0,-,+,-,-,-,+,+,0,+,-,-,+,-,-,0,0,-,0,0,0,+,-,+,-,-,0,+,-,+,-,-,-,0,-,-,0
ãˤː,0,-,+,-,+,-,+,+,0,+,-,-,+,-,-,0,0,-,0,0,0,+,-,+,-,-,0,+,-,+,-,-,-,0,-,-,0
ẽ̞ĩ,0,-,+,-,-,-,+,+,0,+,-,-,+,-,-,0,0,-,0,0,0,+,"-,+",-,+,-,+,-,-,+,-,-,-,0,-,-,0
ẽ̞ũ,0,-,+,-,-,-,+,+,0,+,-,-,+,-,"-,+",+,-,-,0,0,0,+,"-,+",-,"+,-","-,+",+,-,-,+,-,-,-,0,-,-,0
o̞a,0,-,+,-,-,-,+,+,0,+,-,-,-,-,"+,-",+,-,-,0,0,0,+,-,"-,+",-,"+,-",0,-,-,+,-,-,-,0,-,-,0
o̞aˤ,0,-,+,-,-,-,+,+,0,+,-,-,-,-,"+,-",+,-,-,0,0,0,+,-,"-,+",-,"+,-",0,"-,+",-,+,-,-,-,0,-,-,0
o̞e̞,0,-,+,-,-,-,+,+,0,+,-,-,-,-,"+,-",+,-,-,0,0,0,+,-,-,"-,+","+,-",0,-,-,+,-,-,-,0,-,-,0
o̞iˤ,0,-,+,-,-,-,+,+,0,+,-,-,-,-,"+,-",+,-,-,0,0,0,+,"-,+",-,"-,+","+,-",+,"-,+",-,+,-,-,-,0,-,-,0
o̞ˤː,0,-,+,-,+,-,+,+,0,+,-,-,-,-,+,+,-,-,0,0,0,+,-,-,-,+,0,+,-,+,-,-,-,0,-,-,0
õ̞ã,0,-,+,-,-,-,+,+,0,+,-,-,+,-,"+,-",+,-,-,0,0,0,+,-,"-,+",-,"+,-",0,-,-,+,-,-,-,0,-,-,0
õ̞ãˤ,0,-,+,-,-,-,+,+,0,+,-,-,+,-,"+,-",+,-,-,0,0,0,+,-,"-,+",-,"+,-",0,"-,+",-,+,-,-,-,0,-,-,0
õ̞ĩˤ,0,-,+,-,-,-,+,+,0,+,-,-,+,-,"+,-",+,-,-,0,0,0,+,"-,+",-,"-,+","+,-",+,"-,+",-,+,-,-,-,0,-,-,0
õ̞ˤ,0,-,+,-,-,-,+,+,0,+,-,-,+,-,+,+,-,-,0,0,0,+,-,-,-,+,0,+,-,+,-,-,-,0,-,-,0
ɔ̃ˤː,0,-,+,-,+,-,+,+,0,+,-,-,+,-,+,+,-,-,0,0,0,+,-,-,-,+,-,+,-,+,-,-,-,0,-,-,0
ĩẽ̞,0,-,+,-,-,-,+,+,0,+,-,-,+,-,-,0,0,-,0,0,0,+,"+,-",-,+,-,+,-,-,+,-,-,-,0,-,-,0
qʷː,0,-,-,-,+,+,-,-,-,-,-,-,-,-,+,+,-,-,0,0,0,+,-,-,-,+,0,0,0,-,-,-,-,-,-,-,-
t̠ʃʷː,0,-,-,-,+,+,-,-,+,-,-,-,-,-,+,+,-,+,-,+,+,-,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-
t̪s̪ʷː|tsʷː,0,-,-,-,+,+,-,-,+,-,-,-,-,-,+,+,-,+,+,0,+,-,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-
xʷː,0,-,-,-,+,+,-,+,+,-,-,-,-,-,+,+,-,-,0,0,0,+,+,-,-,-,0,0,0,-,-,-,-,-,-,-,-
d̪̰,0,-,-,-,-,+,-,-,-,-,-,-,-,-,-,0,0,+,+,+,-,-,0,0,0,0,0,0,0,+,-,-,+,-,-,-,-
t̪s̪ʲ|tsʲ,0,-,-,-,-,+,-,-,+,-,-,-,-,-,-,0,0,+,+,0,+,+,+,-,+,-,0,0,0,-,-,-,-,-,-,-,-
æi,0,-,+,-,-,-,+,+,0,+,-,-,-,-,-,0,0,-,0,0,0,+,"-,+","+,-",+,-,+,-,-,+,-,-,-,0,-,-,0
s̪ʼ|sʼ,0,-,-,-,-,+,-,+,+,-,-,-,-,-,-,0,0,+,+,0,+,-,0,0,0,0,0,0,0,-,-,-,+,-,+,-,-
ɲ̰,0,-,-,-,-,+,+,-,0,-,-,-,+,-,-,0,0,+,-,+,-,+,+,-,+,-,0,0,0,+,-,-,+,-,-,-,-
b̪,0,-,-,-,-,+,-,-,-,-,-,-,-,-,+,-,-,+,+,+,0,-,0,0,0,0,0,0,0,+,-,-,-,-,-,-,-
