iso639_3;data_type;text_type;transcription_type;tokens;resource_setting;transcription_convention;path-pdf;path-ortho;path-transcription;link;last_accessed;availability;language_variety;language_name;100LC;script;notes_on_source;notes;;;;;;;;
eng;text file;word list;Broad;58’072;high;IPA;;;;https://github.com/CUNY-CL/wikipron/tree/master/data/scrape;17.07.2021;0;US, General American;English;true;Latin;WikiPron Data, mined from Wiktionary;;;;;;;;;
eng;text file;word list;Broad;57’230;high;IPA;;;;https://github.com/CUNY-CL/wikipron/tree/master/data/scrape;17.07.2021;0;US, General American;English;true;Latin;WikiPron Data, mined from Wiktionary;;;;;;;;;
eng;text file;word list;Narrow;1’633;high;IPA;;;;https://github.com/CUNY-CL/wikipron/tree/master/data/scrape;17.07.2021;0;US, General American;English;true;Latin;WikiPron Data, mined from Wiktionary;;;;;;;;;
enm;text file;word list;Broad;6’855;;IPA;;;;https://github.com/CUNY-CL/wikipron/tree/master/data/scrape;17.07.2021;0;;Middle English (1100-1500);false;Latin;;;;;;;;;;
epo;text file;word list;Broad;14’990;;IPA;;;;https://github.com/CUNY-CL/wikipron/tree/master/data/scrape;17.07.2021;0;;Esperanto;false;Latin;;;;;;;;;;
ett;text file;word list;Broad;130;;IPA;;;;https://github.com/CUNY-CL/wikipron/tree/master/data/scrape;19.10.2021;0;;Etruscan;false;Old Italic;WikiPron Data, mined from Wiktionary;;;;;;;;;
eng;pdf;full text (the north wind and the sun);broad;;;IPA;theNorthWindAndTheSun/british-english-received-pronunciation.pdf;;;https://www.cambridge.org/core/journals/journal-of-the-international-phonetic-association/article/british-english-received-pronunciation/D4AFF0A7118E7081ACF7C7586FF87590;12.08.2021;1;RP;English;true;Latin;;;;;;;;;;
eng;pdf;full text (the north wind and the sun);narrow;;;IPA;theNorthWindAndTheSun/british-english-received-pronunciation.pdf;;;https://www.cambridge.org/core/journals/journal-of-the-international-phonetic-association/article/british-english-received-pronunciation/D4AFF0A7118E7081ACF7C7586FF87590;12.08.2021;1;RP;English;true;Latin;;;;;;;;;;
eng;text file;full text (the north wind and the sun);broad;113;low;IPA;;theNorthWindAndTheSun/eng-us-orthographic.txt;theNorthWindAndTheSun/eng-us-broad.txt;https://en.wikipedia.org/wiki/The_North_Wind_and_the_Sun;12.08.2021;1;American;English;true;Latin;;;;;;;;;;
eng;text file;full text (the north wind and the sun);narrow;113;low;IPA;;theNorthWindAndTheSun/eng-us-orthographic.txt;theNorthWindAndTheSun/eng-us-narrow.txt;https://en.wikipedia.org/wiki/The_North_Wind_and_the_Sun;12.08.2021;1;American;English;true;Latin;;;;;;;;;;
eus;text file;word list;Broad;1’742;high;IPA;;;;https://github.com/CUNY-CL/wikipron/tree/master/data/scrape;17.07.2021;0;;Basque;true;Latin;WikiPron Data, mined from Wiktionary;;;;;;;;;
ewe;text file;word list;Broad;120;;IPA;;;;https://github.com/CUNY-CL/wikipron/tree/master/data/scrape;17.07.2021;0;;Ewe;false;Latin;;;;;;;;;;
fao;text file;word list;Broad;1’740;;IPA;;;;https://github.com/CUNY-CL/wikipron/tree/master/data/scrape;17.07.2021;0;;Faroese;false;Latin;;;;;;;;;;
